,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Manufactured Location,Year,Mileometer(in kms),Fuel_Type,Mode,Owner_Type,Mileage,Engine,Power,Seats,Price,Age,Efficiency,Avg_kms_per_year
23,23,23,23,25,Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.25,12,0.1444539982803095,4326.666666666667
24,24,24,24,26,Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,16.48,1461.0,63.1,5.0,4.25,12,0.2611727416798732,4500.0
25,25,25,25,27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,2.75,11,0.3117734724292101,4909.090909090909
26,26,26,26,28,Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9.9,6,0.1972942502818489,6238.333333333333
27,27,27,27,29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,4.0,17,0.1254901960784313,15411.764705882353
28,28,28,28,30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.75,11,0.1752881512217612,5636.363636363636
29,29,29,29,31,Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,6.75,12,0.1052136133236785,7301.25
30,30,30,30,32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,12.5,11,0.0607608695652173,6545.454545454545
31,31,31,31,33,Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11.5,14,0.0690807799442897,2500.0
32,32,32,32,34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,6.98,10,0.1554589371980676,5543.1
33,33,33,33,35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1.85,15,0.21875,5587.733333333334
34,34,34,34,36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.63,6,0.2745762711864407,8345.833333333334
35,35,35,35,37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,4.85,7,0.2213414634146341,7428.571428571428
36,36,36,36,38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,28.0,11,0.0460753532182103,7727.272727272727
37,37,37,37,39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.0,11,0.2986468200270635,5636.363636363636
38,38,38,38,40,Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.25,16,0.4254859611231101,5625.0
39,39,39,39,41,Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,1.53,10,0.6773333333333333,1969.8
40,40,40,40,42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5.58,7,0.3288311688311688,3147.5714285714284
41,41,41,41,43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,4.74,10,0.2231604342581423,3548.7
42,42,42,42,44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,8.85,10,0.0975186766275346,4637.4
43,43,43,43,45,Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10.11,8,0.1034557704846772,6500.125
44,44,44,44,46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,4.25,16,0.1327985739750445,3625.3125
45,45,45,45,47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,10.95,12,0.0687232742822235,5892.0
46,46,46,46,48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.85,10,0.3436619718309859,7500.0
47,47,47,47,49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,5.5,12,0.1576190476190476,6316.666666666667
48,48,48,48,50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,21.43,9,0.0981471921069236,1516.4444444444443
49,49,49,49,51,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.25,10,0.3094594594594594,5200.0
50,50,50,50,52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.3,10,0.2373333333333333,5300.0
51,51,51,51,53,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.85,11,0.3837837837837837,5968.181818181818
52,52,52,52,54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,3.6,9,0.2304878048780487,6000.0
53,53,53,53,55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,3.99,9,0.1457364341085271,4333.333333333333
54,54,54,54,56,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.3,7,0.4722326454033771,2363.1428571428573
55,55,55,55,57,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.07,14,0.2580481622306717,2285.714285714286
56,56,56,56,58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,9.49,1995.0,147.6,5.0,7.75,14,0.0642953929539295,8700.857142857143
57,57,57,57,59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,2.25,14,0.2712369597615499,2807.1428571428573
58,58,58,58,60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,16.5,7,0.0925575101488497,3142.8571428571427
59,59,59,59,61,Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75,14,0.2941176470588235,5142.857142857143
60,60,60,60,62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,26.7,9,0.0631182795698924,6444.444444444444
61,61,61,61,63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,10.0,13,0.0929411764705882,5000.0
62,62,62,62,64,Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.5,8,0.3623188405797101,22250.0
63,63,63,63,65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13.5,12,0.1182142857142857,5472.0
64,64,64,64,66,Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,1.85,17,0.2102564102564102,3705.8823529411766
65,65,65,65,67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,35.67,5,0.0,3073.8
66,66,66,66,68,Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.15,8,0.2770621468926553,7875.0
67,67,67,67,69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,10.5,6,0.2491544532130778,2166.6666666666665
68,68,68,68,70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14.5,16,0.017,4562.5
69,69,69,69,71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.65,9,0.1078571428571428,6192.111111111111
70,70,70,70,72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.48,12,0.214828897338403,3764.8333333333335
71,71,71,71,73,Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,6.92,9,0.1810138248847926,6229.555555555556
72,72,72,72,74,Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6.46,8,0.1900921658986175,4662.5
73,73,73,73,75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,29.5,10,0.0987003302439544,5600.0
74,74,74,74,77,Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,4.5,18,0.0939393939393939,12777.777777777777
75,75,75,75,78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.75,12,0.1254901960784313,8666.666666666666
76,76,76,76,80,Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75,12,0.3094594594594594,7925.0
77,77,77,77,81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.5,7,0.1980834272829763,10000.0
78,78,78,78,82,Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.82,8,0.2076124567474048,6868.0
79,79,79,79,83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8,12,0.2941176470588235,5861.416666666667
80,80,80,80,84,Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.11,11,0.3137679199350825,9058.0
81,81,81,81,85,Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3.25,15,0.1517476555839727,3466.6666666666665
82,82,82,82,86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,13.9,13,0.076743119266055,5769.2307692307695
83,83,83,83,87,Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.25,15,0.2580481622306717,6398.666666666667
84,84,84,84,88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75,8,0.2304878048780487,2000.0
85,85,85,85,90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5.0,8,0.2053056516724336,2368.625
86,86,86,86,91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16.5,10,0.0771513353115727,10700.0
87,87,87,87,92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,39.58,6,0.1014168530947054,8061.166666666667
88,88,88,88,93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.5,11,0.2526714158504007,5181.818181818182
89,89,89,89,94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1,10,0.1078571428571428,5800.0
90,90,90,90,95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5,9,0.2616632860040568,3333.3333333333335
91,91,91,91,96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.79,11,0.2986468200270635,3110.181818181818
92,92,92,92,97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3.45,14,0.1472727272727272,5000.142857142857
93,93,93,93,98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,4.45,8,0.2816691505216095,7750.0
94,94,94,94,99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,2.65,14,0.14743961352657,4428.642857142857
95,95,95,95,100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3.8,13,0.2555555555555555,6073.692307692308
96,96,96,96,101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,4.65,10,0.2232951116475558,3018.0
97,97,97,97,102,Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,3.95,7,0.2959701492537313,4693.0
98,98,98,98,103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,9.8,14,0.0618889809444904,2142.8571428571427
99,99,99,99,104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.7,15,0.2125,4400.0
100,100,100,100,105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.41,14,0.4,6703.571428571428
101,101,101,101,106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,3.9,10,0.2244613434727503,5300.0
102,102,102,102,107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,24.0,13,0.0544112218530823,6000.0
103,103,103,103,108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5.75,12,0.1142857142857142,5416.666666666667
104,104,104,104,109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5.25,10,0.1766941101963268,4000.0
105,105,105,105,110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.25,7,0.0662390670553935,4285.714285714285
106,106,106,106,111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,3.91,7,0.2068493150684931,5436.142857142857
107,107,107,107,112,Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,2.15,10,0.6773333333333333,2550.0
108,108,108,108,113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20.75,9,0.1194210526315789,6231.888888888889
109,109,109,109,114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.35,14,0.1038461538461538,5077.714285714285
110,110,110,110,115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.11,10,0.1291252485089463,5500.0
111,111,111,111,116,Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,20.0,10,0.1553333333333333,3270.0
112,112,112,112,117,Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6.55,8,0.2521727679747169,4985.25
113,113,113,113,118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,7.0,15,0.0502325581395348,8533.333333333334
114,114,114,114,119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5,8,0.2745762711864407,6875.0
115,115,115,115,121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,16.75,10,0.1397949673811742,5375.3
116,116,116,116,122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95,6,0.1743264659270998,1708.3333333333333
117,117,117,117,123,Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45,13,0.2816691505216095,3374.923076923077
118,118,118,118,124,Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.23,7,0.5843116328708645,4669.142857142857
119,119,119,119,125,Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,7.75,10,0.1004166666666666,4200.0
120,120,120,120,126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,9.35,15,0.0657303370786516,1890.1333333333334
121,121,121,121,128,Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,5.25,17,0.0710526315789473,2805.8823529411766
122,122,122,122,129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.25,9,0.2055232558139535,6111.111111111111
123,123,123,123,130,Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.47,7,0.2275521405049396,6326.428571428572
124,124,124,124,131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25,8,0.1142857142857142,6750.0
125,125,125,125,132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,5.81,8,0.2459207459207459,3779.0
126,126,126,126,133,Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.6,10,0.3587183308494784,8850.0
127,127,127,127,134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,54.0,7,0.052476040544646,1910.2857142857142
128,128,128,128,135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,11.5,5,0.1401483924154987,2529.0
129,129,129,129,136,Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.6,14,0.4254859611231101,6741.785714285715
130,130,130,130,137,BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,17.22,9,0.1439160839160839,3535.6666666666665
131,131,131,131,138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.0,9,0.2142051860202931,1333.3333333333333
132,132,132,132,139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.95,12,0.1038461538461538,7381.5
133,133,133,133,140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,17.95,10,0.1133529411764705,4496.5
134,134,134,134,141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.7,10,0.2616632860040568,4504.4
135,135,135,135,142,Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.43,8,0.2689486552567237,4275.5
136,136,136,136,144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13.49,12,0.067251461988304,7602.916666666667
137,137,137,137,145,Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,2.85,10,0.2421875,3880.0
138,138,138,138,146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,4.75,11,0.2042117465224111,7545.454545454545
139,139,139,139,147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.9,6,0.2275521405049396,6880.5
140,140,140,140,148,Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,37.0,11,0.0248873873873873,2090.909090909091
141,141,141,141,149,BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,26.5,10,0.1145263157894737,4800.0
142,142,142,142,150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,23.32,9,0.0981471921069236,5357.111111111111
143,143,143,143,151,Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.25,8,0.3094594594594594,4375.0
144,144,144,144,152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,30.0,14,0.0215210801873794,2519.785714285714
145,145,145,145,153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,9.86,8,0.2092349304482225,6827.5
146,146,146,146,154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,8.5,12,0.1245474293989862,11416.416666666666
147,147,147,147,155,Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.23,5,0.3822463768115942,2864.4
148,148,148,148,156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5,12,0.2986468200270635,5469.5
149,149,149,149,157,Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,2.5,8,0.3076349537727408,750.0
150,150,150,150,158,Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,2.39,11,0.2235023041474654,3025.4545454545455
151,151,151,151,159,Mercedes-Benz B Class B180,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.25,11,0.1226180613090306,2636.3636363636365
152,152,152,152,160,Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.11,9,0.2636916835699797,4759.0
